,count,unique,top,freq,mean,std,min,25%,50%,75%,max
MarkedHandshapeM2.2.0,259.0,,,,0.5405405405405406,0.4993186222527544,0.0,0.0,1.0,1.0,1.0
SelectedFingersM2.2.0,259,7,imrp,146,,,,,,,
FlexionM2.2.0,242,6,FullyOpen,121,,,,,,,
FlexionChangeM2.2.0,211.0,,,,0.13744075829383887,0.3451308793119798,0.0,0.0,0.0,0.0,1.0
SpreadM2.2.0,152.0,,,,0.3026315789473684,0.4609157841252224,0.0,0.0,0.0,1.0,1.0
SpreadChangeM2.2.0,153.0,,,,0.05228758169934641,0.22333741505442456,0.0,0.0,0.0,0.0,1.0
ThumbPositionM2.2.0,259,2,Open,194,,,,,,,
ThumbContactM2.2.0,242.0,,,,0.2809917355371901,0.45041503213839185,0.0,0.0,0.0,1.0,1.0
SignTypeM2.2.0,225,4,SymmetricalOrAlternating,87,,,,,,,
MovementM2.2.0,164,5,Straight,120,,,,,,,
RepeatedMovementM2.2.0,35.0,,,,0.2571428571428571,0.44343957363115993,0.0,0.0,0.0,0.5,1.0
MajorLocationM2.2.0,225,5,Neutral,114,,,,,,,
MinorLocationM2.2.0,225,22,Neutral,114,,,,,,,
SecondMinorLocationM2.2.0,141,13,Neutral,89,,,,,,,
ContactM2.2.0,225.0,,,,0.43555555555555553,0.4969350505291858,0.0,0.0,0.0,1.0,1.0
NonDominantHandshapeM2.2.0,160,30,open_b,35,,,,,,,
UlnarRotationM2.2.0,226.0,,,,0.04424778761061947,0.20610161597181786,0.0,0.0,0.0,0.0,1.0
HandshapeM3.2.0,34,19,5,7,,,,,,,
MarkedHandshapeM3.2.0,34.0,,,,0.5294117647058824,0.5066403971048989,0.0,0.0,1.0,1.0,1.0
SelectedFingersM3.2.0,34,5,imrp,20,,,,,,,
FlexionM3.2.0,33,6,FullyOpen,16,,,,,,,
FlexionChangeM3.2.0,21.0,,,,0.09523809523809523,0.3007926037591192,0.0,0.0,0.0,0.0,1.0
SpreadM3.2.0,26.0,,,,0.4230769230769231,0.5038314736557788,0.0,0.0,0.0,1.0,1.0
SpreadChangeM3.2.0,19.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThumbPositionM3.2.0,34,2,Open,23,,,,,,,
ThumbContactM3.2.0,33.0,,,,0.30303030303030304,0.4666937221594376,0.0,0.0,0.0,1.0,1.0
SignTypeM3.2.0,22,4,SymmetricalOrAlternating,10,,,,,,,
MovementM3.2.0,9,3,Straight,6,,,,,,,
RepeatedMovementM3.2.0,8.0,,,,0.125,0.3535533905932738,0.0,0.0,0.0,0.0,1.0
MajorLocationM3.2.0,22,4,Neutral,9,,,,,,,
MinorLocationM3.2.0,22,8,Neutral,9,,,,,,,
SecondMinorLocationM3.2.0,11,4,Neutral,7,,,,,,,
ContactM3.2.0,22.0,,,,0.5,0.511766315719159,0.0,0.0,0.5,1.0,1.0
